id,title,handle,status,product_type,group,collections,price_eur,max_price_eur,total_inventory,tracks_inventory,inventory_policy,variants,unbuyable_dead_end,has_dimensions,dimensions_value,has_what_fits,has_lead_time,has_materials_craft,has_siblings,has_seo_title,has_seo_description,has_description,description_chars,description_under_200,has_image,image_count,online_store_url
15654273548613,SAC - Grey,crossbody-leather-bag-grey-sac,ACTIVE,Backpack,Bags & travel,Products; Travel; Bags; New In,2120.00,2120.00,1,true,DENY,1,false,true,L 28 cm × W 19 cm × H 9 cm (11 × 7.5 × 3.5 in),false,false,true,true,true,true,true,492,false,true,6,https://www.oberndoerferco.com/en-de/products/crossbody-leather-bag-grey-sac
15892540817733,SAC Alligator - Black,sac-black-crocodile-leather-bag-italy,ACTIVE,Backpack,Bags & travel,Products; Travel; Bags; New In,13170.00,13170.00,1,true,DENY,1,false,false,,false,false,true,true,true,true,true,970,false,true,3,https://www.oberndoerferco.com/en-de/products/sac-black-crocodile-leather-bag-italy
15892578697541,SAC Alligator - Blue,sac-blue-crocodile-leather-bag-italy,ACTIVE,Backpack,Bags & travel,Products; Travel; Bags; New In,13170.00,13170.00,1,true,DENY,1,false,false,,false,false,true,true,true,true,true,969,false,true,3,https://www.oberndoerferco.com/en-de/products/sac-blue-crocodile-leather-bag-italy
15893320171845,SAC Alligator - Brown,sac-brown-crocodile-leather-bag-italy,ACTIVE,Backpack,Bags & travel,Products; Travel; Bags; New In,13170.00,13170.00,1,true,DENY,1,false,false,,false,false,true,true,true,true,true,970,false,true,3,https://www.oberndoerferco.com/en-de/products/sac-brown-crocodile-leather-bag-italy
15892592853317,SAC Alligator - Green,sac-green-crocodile-leather-bag-italy,ACTIVE,Backpack,Bags & travel,Products; Travel; Bags; New In,13170.00,13170.00,1,true,DENY,1,false,false,,false,false,true,true,true,true,true,970,false,true,3,https://www.oberndoerferco.com/en-de/products/sac-green-crocodile-leather-bag-italy
15889542840645,SAC Alligator - Yellow,sac-yellow-crocodile-leather-bag-italy,ACTIVE,Backpack,Bags & travel,Products; Travel; Bags; New In,13170.00,13170.00,1,true,DENY,1,false,false,,false,false,true,true,true,true,true,971,false,true,3,https://www.oberndoerferco.com/en-de/products/sac-yellow-crocodile-leather-bag-italy
15893330395461,SAC Himalaya Alligator,sac-himalaya-crocodile-leather-bag-italy,ACTIVE,Backpack,Bags & travel,Products; Travel; Bags; New In,17190.00,17190.00,1,true,DENY,1,false,false,,false,false,true,true,true,true,true,941,false,true,3,https://www.oberndoerferco.com/en-de/products/sac-himalaya-crocodile-leather-bag-italy
14845875290437,Weekend Bag,leather-duffle-bag,ACTIVE,Travel Bag,Bags & travel,Featured products; Products; Travel,1950.00,1950.00,0,true,CONTINUE,1,false,false,,false,false,true,false,true,true,true,459,false,true,8,https://www.oberndoerferco.com/en-de/products/leather-duffle-bag
16051035177285,Black Leather Pouf,black-leather-pouf,ACTIVE,Furniture,Furniture,Home Accessories,595.00,595.00,1,true,DENY,1,false,false,,false,false,false,true,true,true,true,364,false,true,3,https://www.oberndoerferco.com/en-de/products/black-leather-pouf
16049653154117,Blue Leather Pouf,blue-leather-pouf,ACTIVE,Furniture,Furniture,Home Accessories,595.00,595.00,1,true,DENY,1,false,false,,false,false,false,true,true,true,true,363,false,true,3,https://www.oberndoerferco.com/en-de/products/blue-leather-pouf
16051047760197,Brown Leather Pouf,brown-leather-pouf,ACTIVE,Furniture,Furniture,Home Accessories,595.00,595.00,1,true,DENY,1,false,false,,false,false,false,true,true,true,true,364,false,true,3,https://www.oberndoerferco.com/en-de/products/brown-leather-pouf
16061208428869,Leather Sofa - Black,italian-leather-sofa-calf-leather-black,ACTIVE,sofa,Furniture,Home Accessories,27000.00,27000.00,1,true,CONTINUE,1,false,true,L 302 cm × W 108 cm × H 56 cm (118.9 × 42.5 × 22 in),false,false,true,true,true,true,true,594,false,true,4,https://www.oberndoerferco.com/en-de/products/italian-leather-sofa-calf-leather-black
16059323220293,Leather Sofa - Orange,italian-leather-sofa-calf-leather-orange,ACTIVE,sofa,Furniture,Home Accessories,27000.00,27000.00,1,true,CONTINUE,1,false,true,L 302 cm × W 108 cm × H 56 cm (118.9 × 42.5 × 22 in),false,false,true,true,true,true,true,595,false,true,4,https://www.oberndoerferco.com/en-de/products/italian-leather-sofa-calf-leather-orange
16059077165381,Orange Leather Pouf,orange-leather-pouf,ACTIVE,Furniture,Furniture,Home Accessories,595.00,595.00,1,true,DENY,1,false,false,,false,false,false,true,true,true,true,365,false,true,3,https://www.oberndoerferco.com/en-de/products/orange-leather-pouf
15405638123845,Table Trunk,orange-tabel-trunk,ACTIVE,Furniture,Furniture,Home Accessories; Products,34250.00,34250.00,1,true,DENY,1,false,true,L 120 cm × W 60 cm × H 40 cm (47.2 × 23.6 × 15.7 in),false,false,true,false,true,true,true,663,false,true,5,https://www.oberndoerferco.com/en-de/products/orange-tabel-trunk
16048935403845,Table Trunk - Black,tabel-trunk-black,ACTIVE,Furniture,Furniture,Home Accessories; Products,34250.00,34250.00,1,true,DENY,1,false,true,L 120 cm × W 60 cm × H 40 cm (47.2 × 23.6 × 15.7 in),false,false,true,false,true,true,true,663,false,true,3,https://www.oberndoerferco.com/en-de/products/tabel-trunk-black
15752155234629,BAG MODEL 017 - Black,black-bag-model-017-italian-leather-tote-bag,ACTIVE,Handbag,Handbags,Featured products; Products; Travel; Bags; New In,825.00,825.00,1,true,DENY,1,false,true,L 39 cm × W 14.5 cm × H 32 cm (15.4 × 5.7 × 12.6 in),false,false,false,true,true,true,true,488,false,true,5,https://www.oberndoerferco.com/en-de/products/black-bag-model-017-italian-leather-tote-bag
15846306709829,BAG MODEL 017 - Brown,brown-bag-model-017-italian-leather-tote-bag,ACTIVE,Handbag,Handbags,Featured products; Products; Travel; Bags; New In; Signature Pieces,825.00,825.00,1,true,DENY,1,false,true,L 39 cm × W 14.5 cm × H 32 cm (15.4 × 5.7 × 12.6 in),false,false,false,true,true,true,true,488,false,true,5,https://www.oberndoerferco.com/en-de/products/brown-bag-model-017-italian-leather-tote-bag
15973409554757,BAG MODEL 017 - Light Blue,blue-bag-model-017,ACTIVE,Handbag,Handbags,Featured products; Products; Travel; Bags; New In,825.00,825.00,1,true,DENY,1,false,true,L 39 cm × W 14.5 cm × H 32 cm (15.4 × 5.7 × 12.6 in),false,false,false,true,true,true,true,493,false,true,4,https://www.oberndoerferco.com/en-de/products/blue-bag-model-017
16030597677381,BAG MODEL 017 - Pink,pink-bag-model-017,ACTIVE,Handbag,Handbags,Featured products; Products; Travel; Bags; New In,825.00,825.00,0,true,CONTINUE,1,false,true,L 39 cm × W 14.5 cm × H 32 cm (15.4 × 5.7 × 12.6 in),false,false,false,true,true,true,true,487,false,true,3,https://www.oberndoerferco.com/en-de/products/pink-bag-model-017
14867203621189,Crochet Handbag - Beige,crochet-handbag,ACTIVE,Handbag,Handbags,Featured products; Products; Bags,329.00,329.00,1,true,DENY,1,false,false,,false,false,false,true,true,true,true,422,false,true,5,https://www.oberndoerferco.com/en-de/products/crochet-handbag
14867210305861,Crochet Handbag - Blue,crochet-handbag-1,ACTIVE,Handbag,Handbags,Featured products; Products; Bags,329.00,329.00,1,true,DENY,1,false,false,,false,false,false,true,true,true,true,394,false,true,5,https://www.oberndoerferco.com/en-de/products/crochet-handbag-1
14867212173637,Crochet Handbag - Peach,crochet-handbag-2,ACTIVE,Handbag,Handbags,Featured products; Products; Bags,329.00,329.00,1,true,DENY,1,false,false,,false,false,false,true,true,true,true,395,false,true,5,https://www.oberndoerferco.com/en-de/products/crochet-handbag-2
14867188285765,Crochet Handbag - Pink,crochet-handbag-pink,ACTIVE,Handbag,Handbags,Featured products; Products; Bags,329.00,329.00,1,true,DENY,1,false,false,,false,false,false,true,true,true,true,394,false,true,4,https://www.oberndoerferco.com/en-de/products/crochet-handbag-pink
14867219480901,Crochet Handbag - Purple,crochet-handbag-3,ACTIVE,Handbag,Handbags,Featured products; Products; Bags,329.00,329.00,1,true,DENY,1,false,false,,false,false,false,true,true,true,true,396,false,true,4,https://www.oberndoerferco.com/en-de/products/crochet-handbag-3
14867484639557,Mini Crochet Handbag - Beige,mini-crochet-handbag-3,ACTIVE,Handbag,Handbags,Featured products; Products; Bags,279.00,279.00,1,true,DENY,1,false,false,,false,false,false,true,true,true,true,409,false,true,5,https://www.oberndoerferco.com/en-de/products/mini-crochet-handbag-3
14867547783493,Mini Crochet Handbag - Blue,mini-crochet-handbag-5,ACTIVE,Handbag,Handbags,Featured products; Products; Bags,279.00,279.00,1,true,DENY,1,false,false,,false,false,false,true,true,true,true,408,false,true,5,https://www.oberndoerferco.com/en-de/products/mini-crochet-handbag-5
14867477332293,Mini Crochet Handbag - Multicolor Print,mini-crochet-handbag-2,ACTIVE,Handbag,Handbags,Featured products; Products; Bags,279.00,279.00,1,true,DENY,1,false,false,,false,false,false,true,true,true,true,417,false,true,5,https://www.oberndoerferco.com/en-de/products/mini-crochet-handbag-2
14867498402117,Mini Crochet Handbag - Peach,mini-crochet-handbag-4,ACTIVE,Handbag,Handbags,Featured products; Products; Bags,279.00,279.00,1,true,DENY,1,false,false,,false,false,false,true,true,true,true,409,false,true,4,https://www.oberndoerferco.com/en-de/products/mini-crochet-handbag-4
